APP,Package,Auto Category
Cheogram,com.cheogram.android_4205004.apk,Messaging
Jellyfin,org.jellyfin.mobile_2060199.apk,Media
AutoNotify,com.upbad.apps.autonotify_6.apk,Messaging
StoneAge,com.cweb.messenger_4208104.apk,Messaging
AirMessage,me.tagavari.airmessage_139.apk,Messaging
Podcini,ac.mdiq.podcini_3020152.apk,Media
Linphone,org.linphone_520053.apk,Messaging
blabber.im,de.pixart.messenger_344.apk,Messaging
Retro Music,code.name.monkey.retromusic_10603.apk,Media
SchildiChat,de.spiritcroc.riotx_40101284.apk,Messaging
VoIP.ms SMS,net.kourlas.voipms_sms_147.apk,Messaging
Quicksy,im.quicksy.client_4211504.apk,Messaging
Prav,app.prav.client_4207204.apk,Messaging
Jami,cx.ring_424.apk,Messaging
Harmony Music,com.anandnet.harmonymusic_15.apk,Media
SimpMusic,com.maxrave.simpmusic_16.apk,Media
Organic Maps,app.organicmaps_24061903.apk,Navigation
Ultrasonic,org.moire.ultrasonic_130.apk,Media
Element,im.vector.app_40106164.apk,Messaging
ViMusic,it.vfsfitvnm.vimusic_20.apk,Media
Podverse,com.podverse.fdroid_105004.apk,Media
Spotube,oss.krtirtho.spotube_32.apk,Media
FairEmail,eu.faircode.email_2208.apk,Messaging
Voice,de.ph1b.audiobook_3603034.apk,Media
Tempo,com.cappielloantonio.notquitemy.tempo_25.apk,Media
Satunes,io.github.antoinepirlot.satunes_32.apk,Media
InnerTune,com.zionhuang.music_19.apk,Media
Auxio,org.oxycblt.auxio_46.apk,Media
Transistor,org.y20k.transistor_99.apk,Media
Phonograph Plus,player.phonograph.plus_1071.apk,Media
Silence,org.smssecure.smssecure_211.apk,Messaging
Odeon,fr.nihilus.music_201010.apk,Media
Conversations,eu.siacs.conversations_4211504.apk,Messaging
RiMusic,it.fast4x.rimusic_40.apk,Media
OsmAnd~,net.osmand.plus_471703.apk,Navigation
monocles chat,de.monocles.chat_17204.apk,Messaging
LISTEN.moe,me.echeung.moemoekyun.fdroid_207.apk,Media
Vinyl Music Player,com.poupa.vinylmusicplayer_201.apk,Media
News,de.luhmer.owncloudnewsreader_191.apk,Media
Metro,io.github.muntashirakon.Music_10603.apk,Media
AntennaPod,de.danoeh.antennapod_3040095.apk,Media
yaxim,org.yaxim.androidclient_53.apk,Messaging
EVMap,net.vonforst.evmap_226.apk,POI
Snikket,org.snikket.android_4209504.apk,Messaging
