Repository,Created At,Stars,Forks,Last Commit Date,HTML URL,Description,Meets Criteria
KRTirtho/spotube,2021-02-14T03:17:58Z,37295,1531,2025-03-07T14:22:32Z,https://github.com/KRTirtho/spotube,🎧 Open source Spotify client that doesn't require Premium nor uses Electron! Available for both desktop & mobile!,Yes
signalapp/Signal-Android,2011-12-15T20:01:12Z,26244,6295,2025-03-07T21:48:00Z,https://github.com/signalapp/Signal-Android,A private messenger for Android.,Yes
quran/quran_android,2010-01-22T10:34:05Z,2094,902,2025-03-08T01:13:24Z,https://github.com/quran/quran_android,a quran reading application for android,Yes
androidx/media,2021-09-02T18:42:10Z,1975,490,2024-12-18T17:26:54Z,https://github.com/androidx/media,"Jetpack Media3 support libraries for media use cases, including ExoPlayer, an extensible media player for Android",Yes
videolan/vlc-android,2018-03-01T11:37:03Z,2937,658,2025-03-06T13:49:57Z,https://github.com/videolan/vlc-android,"  VLC for Android, Android TV and ChromeOS",Yes
LISTEN-moe/android-app,2017-03-26T22:36:09Z,260,25,2025-02-16T20:18:39Z,https://github.com/LISTEN-moe/android-app,Official LISTEN.moe Android app,Yes
XilinJia/Podcini,2024-02-05T20:41:40Z,229,7,2025-01-15T07:47:15Z,https://github.com/XilinJia/Podcini,Open source podcast instrument for Android supporting contents from YouTube and YT Music as well as normal podcasts.,Yes
sosauce/CuteMusic,2024-04-11T21:08:05Z,377,23,2025-03-06T20:29:42Z,https://github.com/sosauce/CuteMusic,"CuteMusic is a simple,lightweight and open-source offline music player app for Android.",Yes
gokadzev/Musify,2021-12-05T09:28:35Z,2368,222,2025-03-07T18:20:55Z,https://github.com/gokadzev/Musify,Unlock the full potential of music: Stream effortlessly with one app!,Yes
Arturo254/OpenTune,2023-12-25T00:23:00Z,384,19,2025-01-24T01:50:10Z,https://github.com/Arturo254/OpenTune,"Un cliente de YouTube Music con Material Design 3, para Android",Yes
PreviousAlone/Nnngram,2022-05-05T14:03:17Z,363,30,2025-03-07T18:51:44Z,https://github.com/PreviousAlone/Nnngram,Another gram by NextAlone,Yes
JetBrains/android,2016-06-08T13:46:48Z,970,229,2025-03-08T17:00:49Z,https://github.com/JetBrains/android,Android Plugin for IntelliJ IDEA. This repository is a subset of https://git.jetbrains.org/?p=idea/android.git cut according to GitHub file size limitations.,Yes
nt4f04uNd/sweyer,2019-08-24T15:12:02Z,209,47,2025-03-09T20:08:01Z,https://github.com/nt4f04uNd/sweyer,Music player built with Flutter,Yes
pachi81/GlucoDataHandler,2023-01-10T11:41:58Z,79,18,2025-02-21T18:14:08Z,https://github.com/pachi81/GlucoDataHandler,"Android application which receives Glucose values from multiple sources and provide Wear OS complications, Android Auto support, phone widgets/notifications and Tasker integration.",Yes
DrKLO/Telegram,2013-10-25T14:08:10Z,25863,8282,2025-01-26T15:30:37Z,https://github.com/DrKLO/Telegram,Telegram for Android source,Yes
maxrave-dev/SimpMusic,2023-04-15T04:53:33Z,2473,146,2025-03-09T10:08:41Z,https://github.com/maxrave-dev/SimpMusic,A simple music app using YouTube Music for backend,Yes
RetroMusicPlayer/RetroMusicPlayer,2018-07-27T12:21:51Z,4253,781,2025-01-19T17:58:49Z,https://github.com/RetroMusicPlayer/RetroMusicPlayer,Best Material You Design music player for Android,Yes
anandnet/Harmony-Music,2023-02-05T03:33:10Z,1641,127,2025-03-07T16:37:56Z,https://github.com/anandnet/Harmony-Music,A cross platform App for streaming Music,Yes
OxygenCobalt/Auxio,2020-08-17T15:35:11Z,2422,163,2025-03-08T22:07:36Z,https://github.com/OxygenCobalt/Auxio,"A simple, rational music player for android",Yes
ryanheise/audio_service,2018-11-28T15:59:37Z,820,490,2025-03-01T12:30:45Z,https://github.com/ryanheise/audio_service,Flutter plugin to play audio in the background while the screen is off.,Yes
pure-music/PureMusic,2023-09-26T02:53:20Z,215,10,2025-02-05T03:37:13Z,https://github.com/pure-music/PureMusic,本地、百度网盘、阿里云盘、WebDAV、GoogleDrive、OneDrive、Dropbox、Plex、Emby、Jelly、Subsonic音乐播放器，支持Android、Windows、Mac、Linux平台,Yes
JetBrains/android,2016-06-08T13:46:48Z,970,229,2025-03-08T17:00:49Z,https://github.com/JetBrains/android,Android Plugin for IntelliJ IDEA. This repository is a subset of https://git.jetbrains.org/?p=idea/android.git cut according to GitHub file size limitations.,Yes
JetBrains/android,2016-06-08T13:46:48Z,970,229,2025-03-08T17:00:49Z,https://github.com/JetBrains/android,Android Plugin for IntelliJ IDEA. This repository is a subset of https://git.jetbrains.org/?p=idea/android.git cut according to GitHub file size limitations.,Yes
z-huang/InnerTune,2020-02-11T03:02:58Z,5352,349,2025-02-10T00:52:34Z,https://github.com/z-huang/InnerTune,A Material 3 YouTube Music client for Android,Yes
DJDoubleD/refreezer,2024-07-21T21:37:02Z,538,14,2025-02-28T18:48:38Z,https://github.com/DJDoubleD/refreezer,"An alternative Deezer music streaming & downloading client, based on Freezer.",Yes
qwq233/Nullgram,2021-12-25T09:57:30Z,581,50,2025-01-27T13:44:40Z,https://github.com/qwq233/Nullgram,3rd party client of Telegram,Yes
namidaco/namida,2023-02-12T16:36:03Z,2992,171,2025-03-08T23:28:42Z,https://github.com/namidaco/namida,"A Beautiful and Feature-rich Music & Video Player with Youtube Support, Built in Flutter",Yes
siper/Youamp,2024-04-07T15:39:05Z,147,8,2025-03-09T11:57:24Z,https://github.com/siper/Youamp,Material You android player for subsonic music stream servers written with jetpack compose,Yes
CraftWorksMC/Chora,2023-12-20T17:51:01Z,113,9,2025-03-03T15:09:02Z,https://github.com/CraftWorksMC/Chora,Simple Navidrome / Subsonic Music Player,Yes
nicegram/Nicegram-Android,2021-12-27T10:02:08Z,195,28,2025-03-04T06:04:14Z,https://github.com/nicegram/Nicegram-Android,,Yes
brahmkshatriya/echo,2023-12-31T07:09:01Z,539,29,2025-02-18T10:28:46Z,https://github.com/brahmkshatriya/echo,An extension based Android Music Player.,Yes
flyun/chatAir,2023-10-09T07:34:54Z,636,41,2025-03-06T20:13:21Z,https://github.com/flyun/chatAir,"☁️A native Android app for ChatGPT, Gemini, Claude, and DeepSeek  ☁️ChatGPT、Gemini、Claude 和 DeepSeek 的原生安卓应用程序",Yes
NextAlone/Nagram,2022-01-21T15:47:24Z,1695,90,2025-02-25T09:10:50Z,https://github.com/NextAlone/Nagram,The third-party Telegram android app.,Yes
advplyr/audiobookshelf-app,2021-09-02T01:06:39Z,1551,203,2025-03-09T22:26:40Z,https://github.com/advplyr/audiobookshelf-app,Mobile application for Audiobookshelf,Yes
jellyfin/jellyfin-android,2020-07-21T11:33:44Z,1741,271,2025-03-07T16:20:39Z,https://github.com/jellyfin/jellyfin-android,Android Client for Jellyfin,Yes
timusus/Shuttle2,2018-12-11T03:34:15Z,211,16,2025-02-23T00:31:48Z,https://github.com/timusus/Shuttle2,Shuttle Music Player 2.0,Yes
Anrimian/music-player,2017-11-13T20:47:25Z,94,20,2024-09-26T20:03:49Z,https://github.com/Anrimian/music-player,Music player project for android,Yes
risin42/NagramX,2024-11-06T05:12:19Z,130,9,2025-03-09T14:09:33Z,https://github.com/risin42/NagramX,A variant of Nagram with additional features.,Yes
chr56/Phonograph_Plus,2021-09-21T06:26:56Z,478,24,2025-03-09T03:47:31Z,https://github.com/chr56/Phonograph_Plus,A semi-active fork of kabouzeid/Phonograph -- a revived classic material designed music player for Android,Yes
Nekogram/Nekogram,2023-09-10T07:07:51Z,1873,58,2025-01-28T03:30:56Z,https://github.com/Nekogram/Nekogram,Open-source third-party Telegram client with not many but useful modifications.,Yes
arsLan4k1390/Cherrygram,2022-04-25T14:07:00Z,713,36,2025-03-01T17:54:02Z,https://github.com/arsLan4k1390/Cherrygram,,Yes
dic1911/Momogram,2023-11-21T10:49:49Z,264,17,2025-02-03T07:40:56Z,https://github.com/dic1911/Momogram,A third-party Telegram android app.,Yes
CappielloAntonio/tempo,2021-07-25T08:20:35Z,1413,68,2025-01-31T10:05:39Z,https://github.com/CappielloAntonio/tempo,"An open source and lightweight music client for Subsonic, designed and built natively for Android.",Yes
AndreyPavlenko/Fermata,2019-12-23T19:14:49Z,704,83,2024-05-19T17:35:15Z,https://github.com/AndreyPavlenko/Fermata,,Yes
Ankit-Sangwaan/BlackHole,2024-01-15T11:28:45Z,94,46,2024-01-14T15:06:24Z,https://github.com/Ankit-Sangwaan/BlackHole,,Yes
OctoGramApp/OctoGram,2023-06-02T10:37:51Z,220,15,2025-03-02T17:32:05Z,https://github.com/OctoGramApp/OctoGram,OctoGram is an unofficial messaging app that uses Telegram's API.,Yes
Maloy-Android/Muzza,2024-08-28T16:54:02Z,88,4,2025-03-01T15:53:25Z,https://github.com/Maloy-Android/Muzza,A Material 3 YouTube Music client for Android,Yes
Nitsuya/AADisplay,2024-05-28T07:31:47Z,104,8,2025-01-15T00:50:19Z,https://github.com/Nitsuya/AADisplay,"让Android Auto显示任意应用, 基于VirtualDisplay的套娃方案",Yes
PaulWoitaschek/Voice,2014-08-02T22:01:39Z,2503,379,2025-03-05T20:28:06Z,https://github.com/PaulWoitaschek/Voice,Minimalistic audiobook player,Yes
mollyim/mollyim-android,2019-12-28T12:50:31Z,1918,101,2025-03-07T23:39:16Z,https://github.com/mollyim/mollyim-android,Enhanced and security-focused fork of Signal.,Yes
androidx/androidx,2020-04-17T19:17:41Z,5493,1080,2025-03-08T01:25:30Z,https://github.com/androidx/androidx,Development environment for Android Jetpack extension libraries under the androidx namespace. Synchronized with Android Jetpack's primary development branch on AOSP.,Yes
nextcloud/news-android,2013-05-26T09:54:08Z,713,258,2025-02-25T03:13:39Z,https://github.com/nextcloud/news-android,📱🗞️ Android client for the Nextcloud news/feed reader app,Yes
Automattic/pocket-casts-android,2022-06-15T12:41:42Z,2624,225,2025-03-09T06:15:13Z,https://github.com/Automattic/pocket-casts-android,Pocket Casts Android 🎧,Yes
pure-music/PureMusic,2023-09-26T02:53:20Z,215,10,2025-02-05T03:37:13Z,https://github.com/pure-music/PureMusic,本地、百度网盘、阿里云盘、WebDAV、GoogleDrive、OneDrive、Dropbox、Plex、Emby、Jelly、Subsonic音乐播放器，支持Android、Windows、Mac、Linux平台,Yes
FossifyOrg/Music-Player,2022-11-11T17:41:12Z,413,39,2025-01-21T19:00:44Z,https://github.com/FossifyOrg/Music-Player,"A clean music player with a customizable widget, stylish interface and no ads.",Yes
mostafaalagamy/Metrolist,2023-08-11T12:19:23Z,637,31,2025-02-10T13:37:01Z,https://github.com/mostafaalagamy/Metrolist,YouTube Music client for Android,Yes
NielsMasdorp/Nederadio-Android,2016-03-23T18:31:43Z,52,21,2024-05-09T19:36:30Z,https://github.com/NielsMasdorp/Nederadio-Android,Stream radio stations,Yes
AyraHikari/SamsungMusicPort,2021-06-12T01:43:25Z,120,4,2025-02-07T20:14:14Z,https://github.com/AyraHikari/SamsungMusicPort,Samsung Music Port for all Non-Samsung ROM,Yes
samyak2403/Simple-Tube,2025-01-12T06:10:28Z,60,2,2025-02-15T14:51:35Z,https://github.com/samyak2403/Simple-Tube,A Material 3 YouTube Music Client for Android,Yes
VinylMusicPlayer/VinylMusicPlayer,2017-12-27T15:32:23Z,898,153,2024-08-18T15:31:23Z,https://github.com/VinylMusicPlayer/VinylMusicPlayer,A material designed music player for Android,Yes
SimpleMobileTools/Simple-Music-Player,2016-01-10T12:21:23Z,1312,414,2024-06-11T10:00:51Z,https://github.com/SimpleMobileTools/Simple-Music-Player,"A clean music player with a customizable widget, stylish interface and no ads.",Yes
Goodwy/PlayBook,2020-05-13T11:32:49Z,98,24,2025-02-06T16:30:13Z,https://github.com/Goodwy/PlayBook,,Yes
popeen/Booksonic-App,2015-10-12T13:51:45Z,142,30,2024-09-10T20:05:02Z,https://github.com/popeen/Booksonic-App,"The Booksonic Android App, based on DSub. - OBS: The code here might not be ready for release. Feel free to compile it yourself but if so I recommend searching for the latest commit with the description ""Prepare for release"". ",Yes
OuterTune/OuterTune,2024-05-13T13:55:37Z,1068,58,2025-03-09T23:23:40Z,https://github.com/OuterTune/OuterTune,A Material 3 Music Player with YouTube Music support for Android. Forked from InnerTune,Yes
 
