repository,path,name,url,html_url,git_url,score
android/uamp,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/31929346/contents/app/src/main/AndroidManifest.xml?ref=2136c37bcef54da1ee350fd642fc61a744e86654,https://github.com/android/uamp/blob/2136c37bcef54da1ee350fd642fc61a744e86654/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/31929346/git/blobs/25a97cf1b641b316826a2bf9e803383b68106ea4,1.0
KRTirtho/spotube,android/app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/338719962/contents/android/app/src/main/AndroidManifest.xml?ref=464666c01a3b13d49c82d8f3b55bfa8f3aaac75a,https://github.com/KRTirtho/spotube/blob/464666c01a3b13d49c82d8f3b55bfa8f3aaac75a/android/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/338719962/git/blobs/0effefe25c22664adb8a3928968b0c9a1936ff89,1.0
signalapp/Signal-Android,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/2990192/contents/app/src/main/AndroidManifest.xml?ref=481dc162d80292a046b4229cceba2ac2f2a73f36,https://github.com/signalapp/Signal-Android/blob/481dc162d80292a046b4229cceba2ac2f2a73f36/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/2990192/git/blobs/23e1d85a84fa6989f2c6cd9cf6e91125300fcb3b,1.0
StackeredSAS/AMAnDe,examples/Signal_AndroidManifest.xml,Signal_AndroidManifest.xml,https://api.github.com/repositories/549470493/contents/examples/Signal_AndroidManifest.xml?ref=95f0c2863ea265e4408f785a2d0d7942159e727a,https://github.com/StackeredSAS/AMAnDe/blob/95f0c2863ea265e4408f785a2d0d7942159e727a/examples/Signal_AndroidManifest.xml,https://api.github.com/repositories/549470493/git/blobs/11eda814535de4497754b8310ff61e96863fb810,1.0
quran/quran_android,feature/autoquran/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/483644/contents/feature/autoquran/src/main/AndroidManifest.xml?ref=2cbd8776c019fb792aa75123ba8c2b9a1e99990d,https://github.com/quran/quran_android/blob/2cbd8776c019fb792aa75123ba8c2b9a1e99990d/feature/autoquran/src/main/AndroidManifest.xml,https://api.github.com/repositories/483644/git/blobs/de500fa12e2fcd40406753a42f279d18fe047f10,1.0
NBANDROIDTEAM/NBANDROID-V2,nbandroid.ext.libs.android/src/main/resources/android/studio/imports/templates/other/AndroidAutoMediaService/root/AndroidManifest.xml.ftl,AndroidManifest.xml.ftl,https://api.github.com/repositories/108177097/contents/nbandroid.ext.libs.android/src/main/resources/android/studio/imports/templates/other/AndroidAutoMediaService/root/AndroidManifest.xml.ftl?ref=376a44f40fcc0952b2c5e41ec07013e28eabc2c4,https://github.com/NBANDROIDTEAM/NBANDROID-V2/blob/376a44f40fcc0952b2c5e41ec07013e28eabc2c4/nbandroid.ext.libs.android/src/main/resources/android/studio/imports/templates/other/AndroidAutoMediaService/root/AndroidManifest.xml.ftl,https://api.github.com/repositories/108177097/git/blobs/c0fcfdd8dad777f282d69b2f84cf14968694c5c0,1.0
androidx/media,demos/session/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/402527443/contents/demos/session/src/main/AndroidManifest.xml?ref=76088cd6af7f263aba238b7a48d64bd4f060cb8b,https://github.com/androidx/media/blob/76088cd6af7f263aba238b7a48d64bd4f060cb8b/demos/session/src/main/AndroidManifest.xml,https://api.github.com/repositories/402527443/git/blobs/e6b8d3787958dc283e074fb02734bc34248bbc29,1.0
phpc0de/adt-tools-base,templates/other/AndroidAutoMediaService/root/AndroidManifest.xml.ftl,AndroidManifest.xml.ftl,https://api.github.com/repositories/470884249/contents/templates/other/AndroidAutoMediaService/root/AndroidManifest.xml.ftl?ref=0348317fa12e247aebed9415559c426ca159e13b,https://github.com/phpc0de/adt-tools-base/blob/0348317fa12e247aebed9415559c426ca159e13b/templates/other/AndroidAutoMediaService/root/AndroidManifest.xml.ftl,https://api.github.com/repositories/470884249/git/blobs/67fbb51c6e7fc8a152005372275e6274dd965774,1.0
bamz3r/MIUI-XML-6.0-Indonesian,Indonesian/main/Music2.apk/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/37197720/contents/Indonesian/main/Music2.apk/AndroidManifest.xml?ref=5102db42886eff21c4aae2b5eec6cb2c7efd718c,https://github.com/bamz3r/MIUI-XML-6.0-Indonesian/blob/5102db42886eff21c4aae2b5eec6cb2c7efd718c/Indonesian/main/Music2.apk/AndroidManifest.xml,https://api.github.com/repositories/37197720/git/blobs/55dc85ffc4c4c7c05036c966929ff1a43793272f,1.0
yeungeek/android-platform-tools-base,templates/other/AndroidAutoMediaService/root/AndroidManifest.xml.ftl,AndroidManifest.xml.ftl,https://api.github.com/repositories/40763113/contents/templates/other/AndroidAutoMediaService/root/AndroidManifest.xml.ftl?ref=694a9e2f0bf51b5707f0359520ccb853ac3027b4,https://github.com/yeungeek/android-platform-tools-base/blob/694a9e2f0bf51b5707f0359520ccb853ac3027b4/templates/other/AndroidAutoMediaService/root/AndroidManifest.xml.ftl,https://api.github.com/repositories/40763113/git/blobs/c26e54381cd4eaa1c62a81926fae97de5cbe7cb4,1.0
